model_name,gmean_relative_error,avg_rank,avg_acc
chronos-2,0.4760003643793601,1.0666666666666667,0.8504326069858851
EnergyTS_V3.0,0.5186580126244291,1.9333333333333333,0.8468301852544149
timesfm2.5_xreg_early,0.5776801852788801,3.0,0.8272744479223559
toto_2.0_2.5B,0.8039672727435382,4.0,0.7180861001296381
tirex,1.037501193583627,7.2,0.6838700016339619
moirai_2.0_R_small,1.038073833502863,6.466666666666667,0.6769091023078398
sundial_base_128m,0.9982411136589051,5.933333333333334,0.662480354309082
dummy_model,1.0,6.4,0.6541070193563371
