model_name,gmean_relative_error,avg_rank,avg_acc
EnergyTS_V3.0,0.6978173261296726,3.0166666666666666,0.9395451303408553
toto_2.0_2.5B,0.7982949596662137,3.9277777777777776,0.9304151621124889
timesfm25_xreg_early,0.798122845561129,3.9,0.9281489074128217
tirex,0.8697268669759776,4.65,0.9258802548390929
chronos-2,0.8514564071291755,4.338888888888889,0.9230720495078983
moirai_2.0_R_small,0.9014198468210876,4.9222222222222225,0.92234756715787
sundial_base_128m,1.0431370427058901,5.8277777777777775,0.9140841279820685
dummy_model,1.0,5.416666666666667,0.913342848817924
