model_name,gmean_relative_error,avg_rank,avg_acc
EnergyTS_V2.0,0.8196870778359651,2.2,0.712761553625572
tirex,0.8585429644095731,3.6666666666666665,0.7015009005864461
timesfm2_xreg_early,0.8581436695877052,3.0,0.6975627700487773
chronos-bolt-base,0.891558361094179,4.933333333333334,0.6895455103837286
toto_151m,0.9041865781433639,5.2,0.6865720589955647
moirai_1.1_R_large,0.8911103182324539,5.066666666666666,0.6837739859478955
sundial_base_128m,0.9060577216975646,4.6,0.6811917503674825
dummy_model,1.0,7.333333333333333,0.6470147248343916
