model_name,gmean_relative_error,avg_rank,avg_acc
toto_2.0_2.5B,0.29186861967453986,1.6,0.9190413792935569
moirai_2.0_R_small,0.2971727906481786,2.1333333333333333,0.9184330200565564
chronos-2,0.31255139240503377,3.0,0.9156103873264437
EnergyTS_V3.0,0.33307579941649285,3.2666666666666666,0.909063439410535
sundial_base_128m,0.5752218865301248,5.4,0.8641920407613118
timesfm2.5_xreg_early,0.6181978424382524,6.0,0.8588352555356403
tirex,0.6551499483882285,6.6,0.8443452040354411
dummy_model,1.0,8.0,0.7776301586394105
