model_name,gmean_relative_error,avg_rank,avg_acc
EnergyTS_V3.0,0.007702554345278965,1.0,0.994275156656901
chronos-2,0.11202579881649963,2.0,0.9109911787697946
timesfm2.5_xreg_early,0.18280684074563505,3.0,0.8857352902127148
sundial_base_128m,0.7291798584925556,4.466666666666667,0.4258385757605235
tirex,0.7342516431302613,4.933333333333334,0.4222802321116129
toto_2.0_2.5B,0.7614430462200261,6.2,0.4042061476129055
moirai_2.0_R_small,0.7721296080779794,6.4,0.39383118686560287
dummy_model,1.0,8.0,0.15359514673738012
