model_name,gmean_relative_error,avg_rank,avg_acc
EnergyTS_V3.0,0.5877400420041696,3.466666666666667,0.7071018783501067
toto_2.0_2.5B,0.612508753919541,2.9,0.6938211097946037
chronos-2,0.6198064612847654,3.033333333333333,0.6920603458441003
moirai_2.0_R_small,0.6287413170185215,3.6666666666666665,0.6893607402169534
timesfm2.5_xreg_early,0.7548836880029771,4.7,0.6724784783223754
sundial_base_128m,0.7568823615843219,5.116666666666666,0.6689460019270579
tirex,0.7766254690582344,5.4,0.6688324908415476
dummy_model,1.0,7.716666666666667,0.616336212293813
