model_name,gmean_relative_error,avg_rank,avg_acc
EnergyTS_V3.0,0.5973678406885647,2.638888888888889,0.8873913233747456
chronos-2,0.7006570583485117,3.5148148148148146,0.8698761279353245
timesfm25_xreg_early,0.7236531462005673,3.9555555555555557,0.8478144178109596
toto_2.0_2.5B,0.8162776768412775,4.387037037037037,0.8447306957154664
tirex,0.8819568978263271,4.981481481481482,0.8380957556544678
moirai_2.0_R_small,0.9129867893601413,5.216666666666667,0.8321081402943931
sundial_base_128m,0.958984013798275,5.592592592592593,0.8274038664788268
dummy_model,1.0,5.712962962962963,0.8152429182299964
