model_name,gmean_relative_error,avg_rank,avg_acc
chronos-2,0.3287801961303666,1.0666666666666667,0.6877307749714869
EnergyTS_V3.0,0.3590781766886001,1.9333333333333333,0.6612306515375773
timesfm2.5_xreg_early,0.4364500647326269,3.0,0.6054393740035059
toto_2.0_2.5B,0.6492199358306944,4.0,0.4096922870554652
tirex,0.6954752464784784,5.466666666666667,0.4088636378447214
sundial_base_128m,0.7107857854123518,6.666666666666667,0.38972235719362897
moirai_2.0_R_small,0.6929527071319314,5.866666666666666,0.370985350573068
dummy_model,1.0,8.0,0.00904039894129238
