model_name,gmean_relative_error,avg_rank,avg_acc
EnergyTS_V3.0,0.14158894035499678,1.0,0.8322401642799377
chronos-2,0.3720699620517672,2.0,0.5800444536050373
timesfm2.5_xreg_early,0.6480271531999938,4.8,0.3488973474840384
moirai_2.0_R_small,0.6590941629278874,5.6,0.283445341394517
sundial_base_128m,0.6750289620611171,6.8,0.26943847636381785
toto_2.0_2.5B,0.6352648447084556,3.6,0.2634371014749279
tirex,0.639793244618722,4.2,0.25455580900112784
dummy_model,1.0,8.0,-0.02414656833777192
