model_name,gmean_relative_error,avg_rank,avg_acc
EnergyTS_V3.0,0.42246714499761223,1.2,0.7869695266087849
chronos-2,0.5212113205423434,2.3333333333333335,0.7524654533107573
timesfm2.5_xreg_early,0.5299829293793147,2.466666666666667,0.7473800736561612
toto_2.0_2.5B,0.7608860404464718,4.2,0.6194164655273925
tirex,0.8762725507789367,5.866666666666666,0.595466411113739
moirai_2.0_R_small,0.8824825882753954,5.8,0.5670268047939039
dummy_model,1.0,7.2,0.54904947169484
sundial_base_128m,1.011231793928082,6.933333333333334,0.5411912322044372
